StockItemID,QuantityOnHand,BinLocation,LastStocktakeQuantity,LastCostPrice,ReorderLevel,TargetStockLevel,LastEditedBy,LastEditedWhen
1,175609,L-1,171341,9.50,20,100,16,2016-05-31 07:00:00.0000000
2,165538,L-1,161435,9.50,20,100,3,2016-05-31 12:00:00.0000000
3,253190,L-2,246900,11.25,10,120,3,2016-05-31 12:00:00.0000000
4,208109,L-3,202964,12.00,5,100,3,2016-05-31 12:00:00.0000000
5,199064,L-3,194162,12.00,5,100,3,2016-05-31 12:00:00.0000000
6,196995,L-3,192127,12.00,5,100,3,2016-05-31 12:00:00.0000000
7,205295,L-3,200201,12.00,5,100,16,2016-05-31 07:00:00.0000000
8,412277,L-3,401980,88.50,10,200,16,2016-05-31 07:00:00.0000000
9,192749,L-3,187968,12.00,5,100,3,2016-05-31 12:00:00.0000000
10,222572,L-3,217048,12.00,5,100,3,2016-05-31 12:00:00.0000000
11,203148,L-3,198084,12.00,5,100,3,2016-05-31 12:00:00.0000000
12,200406,L-3,195396,12.00,5,100,3,2016-05-31 12:00:00.0000000
13,197453,L-3,192553,12.00,5,100,3,2016-05-31 12:00:00.0000000
14,192358,L-3,187553,12.00,5,100,3,2016-05-31 12:00:00.0000000
15,398290,L-3,388445,88.50,10,200,16,2016-05-31 07:00:00.0000000
16,51836,K-9,50541,4.50,15,40,16,2016-05-31 07:00:00.0000000
17,62428,K-9,60923,4.50,15,40,3,2016-05-31 12:00:00.0000000
18,89207,K-9,86985,4.50,15,40,16,2016-05-31 07:00:00.0000000
19,68800,K-9,67153,4.50,15,40,3,2016-05-31 12:00:00.0000000
20,66722,K-9,65070,4.50,15,40,3,2016-05-31 12:00:00.0000000
21,68683,K-9,67023,4.50,15,40,3,2016-05-31 12:00:00.0000000
22,72747,K-9,70913,4.50,15,40,16,2016-05-31 07:00:00.0000000
23,56283,K-9,54910,4.50,15,40,3,2016-05-31 12:00:00.0000000
24,57083,K-9,55653,4.50,15,40,3,2016-05-31 12:00:00.0000000
25,47106,K-9,45926,4.50,15,40,3,2016-05-31 12:00:00.0000000
26,61071,K-9,59557,4.50,15,40,3,2016-05-31 12:00:00.0000000
27,47747,K-9,46561,4.50,15,40,16,2016-05-31 07:00:00.0000000
28,53851,K-9,52451,4.50,15,40,3,2016-05-31 12:00:00.0000000
29,80978,K-9,78955,4.50,15,40,16,2016-05-31 07:00:00.0000000
30,49248,K-9,48000,4.50,15,40,3,2016-05-31 12:00:00.0000000
31,79604,K-9,77666,4.50,15,40,3,2016-05-31 12:00:00.0000000
32,47512,K-9,46276,4.50,15,40,3,2016-05-31 12:00:00.0000000
33,60005,K-9,58527,4.50,15,40,3,2016-05-31 12:00:00.0000000
34,65583,K-9,63953,4.50,15,40,3,2016-05-31 12:00:00.0000000
35,75803,K-9,74021,4.50,15,40,3,2016-05-31 12:00:00.0000000
36,49459,K-9,48215,4.50,15,40,16,2016-05-31 07:00:00.0000000
37,61318,K-9,59755,4.50,15,40,16,2016-05-31 07:00:00.0000000
38,58431,K-9,57002,4.50,15,40,16,2016-05-31 07:00:00.0000000
39,66353,K-9,64705,4.50,15,40,3,2016-05-31 12:00:00.0000000
40,82969,K-9,80939,4.50,15,40,3,2016-05-31 12:00:00.0000000
41,79138,K-9,77229,4.50,15,40,16,2016-05-31 07:00:00.0000000
42,61075,K-9,59525,4.50,15,40,3,2016-05-31 12:00:00.0000000
43,59174,K-9,57721,4.50,15,40,3,2016-05-31 12:00:00.0000000
44,76861,K-9,74947,4.50,15,40,16,2016-05-31 07:00:00.0000000
45,54430,K-9,53140,4.50,15,40,3,2016-05-31 12:00:00.0000000
46,85243,K-9,83222,4.50,15,40,3,2016-05-31 12:00:00.0000000
47,57652,K-9,56273,4.50,15,40,3,2016-05-31 12:00:00.0000000
48,65779,K-9,64176,4.50,15,40,3,2016-05-31 12:00:00.0000000
49,51545,K-9,50253,4.50,15,40,3,2016-05-31 12:00:00.0000000
50,81085,K-9,79076,4.50,15,40,16,2016-05-31 07:00:00.0000000
51,47656,K-9,46445,4.50,15,40,3,2016-05-31 12:00:00.0000000
52,51289,K-9,49996,4.50,15,40,3,2016-05-31 12:00:00.0000000
53,58061,K-9,56601,4.50,15,40,3,2016-05-31 12:00:00.0000000
54,95786,K-9,93497,4.50,15,40,16,2016-05-31 07:00:00.0000000
55,83130,K-9,81127,4.50,15,40,16,2016-05-31 07:00:00.0000000
56,59403,K-9,57960,4.50,15,40,3,2016-05-31 12:00:00.0000000
57,72743,K-9,70989,4.50,15,40,3,2016-05-31 12:00:00.0000000
58,174043,J-12,169781,12.50,20,100,3,2016-05-31 12:00:00.0000000
59,190946,J-12,186270,12.50,20,100,3,2016-05-31 12:00:00.0000000
60,165484,J-12,161392,12.50,20,100,3,2016-05-31 12:00:00.0000000
61,163823,J-12,159729,12.50,20,100,3,2016-05-31 12:00:00.0000000
62,180856,J-12,176339,12.50,20,100,3,2016-05-31 12:00:00.0000000
63,190886,J-12,186159,12.50,20,100,3,2016-05-31 12:00:00.0000000
64,213248,J-12,208012,15.00,20,100,16,2016-05-31 07:00:00.0000000
65,164183,J-12,160108,15.00,20,100,16,2016-05-31 07:00:00.0000000
66,172525,J-12,168159,15.50,20,100,3,2016-05-31 12:00:00.0000000
67,93588,J-13,91282,145.00,10,50,3,2016-05-31 12:00:00.0000000
68,90953,J-13,88735,145.00,10,50,3,2016-05-31 12:00:00.0000000
69,96791,J-13,94441,145.00,10,50,3,2016-05-31 12:00:00.0000000
70,83287,J-13,81218,145.00,10,50,16,2016-05-31 07:00:00.0000000
71,112020,J-13,109296,145.00,10,50,16,2016-05-31 07:00:00.0000000
72,116147,J-13,113273,145.00,10,50,16,2016-05-31 07:00:00.0000000
73,106477,J-13,103789,155.00,10,50,3,2016-05-31 12:00:00.0000000
74,80341,J-13,78368,155.00,10,50,3,2016-05-31 12:00:00.0000000
75,80823,J-14,78776,205.00,10,50,3,2016-05-31 12:00:00.0000000
76,129929,K-1,127169,7.00,5,20,3,2016-05-31 12:00:00.0000000
77,27,K-1,15,7.00,5,20,16,2016-05-31 07:00:00.0000000
78,16,K-1,28,7.00,5,20,3,2016-05-31 12:00:00.0000000
79,24895,K-1,24871,7.00,5,20,16,2016-05-31 07:00:00.0000000
80,20,K-1,8,7.00,5,20,3,2016-05-31 12:00:00.0000000
81,106773,K-1,103977,7.00,5,20,3,2016-05-31 12:00:00.0000000
82,6706,K-1,7254,7.50,5,20,3,2016-05-31 12:00:00.0000000
83,224185,K-1,218581,7.50,5,20,3,2016-05-31 12:00:00.0000000
84,5439,K-1,5871,8.00,5,20,16,2016-05-31 07:00:00.0000000
85,56210,K-1,54554,8.00,5,20,16,2016-05-31 07:00:00.0000000
86,3,K-1,15,8.00,5,20,3,2016-05-31 12:00:00.0000000
87,53392,K-1,52048,8.00,5,20,3,2016-05-31 12:00:00.0000000
88,148350,K-1,145218,8.50,5,20,3,2016-05-31 12:00:00.0000000
89,81703,K-2,79687,7.00,5,20,3,2016-05-31 12:00:00.0000000
90,75663,K-2,74523,7.00,5,20,3,2016-05-31 12:00:00.0000000
91,76373,K-2,75125,7.00,5,20,3,2016-05-31 12:00:00.0000000
92,82253,K-2,79805,7.00,5,20,3,2016-05-31 12:00:00.0000000
93,277914,K-2,271398,7.00,5,20,16,2016-05-31 07:00:00.0000000
94,157255,K-2,153163,7.00,5,20,3,2016-05-31 12:00:00.0000000
95,48,K-2,12,7.50,5,20,16,2016-05-31 07:00:00.0000000
96,402445,K-2,392305,7.50,5,20,3,2016-05-31 12:00:00.0000000
97,525771,K-2,512667,8.00,5,20,3,2016-05-31 12:00:00.0000000
98,25,K-2,1,8.00,5,20,16,2016-05-31 07:00:00.0000000
99,282132,K-2,275232,8.00,5,20,3,2016-05-31 12:00:00.0000000
100,277863,K-2,270723,8.00,5,20,16,2016-05-31 07:00:00.0000000
101,51036,K-2,50232,8.50,5,20,16,2016-05-31 07:00:00.0000000
102,6702,K-3,6584,17.00,5,10,3,2016-05-31 12:00:00.0000000
103,13020,K-3,12699,17.00,5,10,16,2016-05-31 07:00:00.0000000
104,14596,K-3,14233,17.00,5,10,16,2016-05-31 07:00:00.0000000
105,23213,K-3,22601,17.00,5,10,16,2016-05-31 07:00:00.0000000
106,10874,K-3,10628,17.00,5,10,3,2016-05-31 12:00:00.0000000
107,10843,K-4,10568,19.00,5,10,16,2016-05-31 07:00:00.0000000
108,6342,K-4,6229,19.00,5,10,3,2016-05-31 12:00:00.0000000
109,27052,K-4,26392,19.00,5,10,3,2016-05-31 12:00:00.0000000
110,19426,K-4,19004,19.00,5,10,3,2016-05-31 12:00:00.0000000
111,8498,K-4,8304,22.00,5,10,3,2016-05-31 12:00:00.0000000
112,11076,K-4,10807,22.00,5,10,3,2016-05-31 12:00:00.0000000
113,7057,K-4,6865,22.00,5,10,3,2016-05-31 12:00:00.0000000
114,6971,K-4,6763,22.00,5,10,16,2016-05-31 07:00:00.0000000
115,16909,K-4,16517,24.00,5,10,3,2016-05-31 12:00:00.0000000
116,10988,K-4,10689,24.00,5,10,3,2016-05-31 12:00:00.0000000
117,14824,K-4,14434,24.00,5,10,3,2016-05-31 12:00:00.0000000
118,58218,K-5,56838,8.00,10,30,3,2016-05-31 12:00:00.0000000
119,49638,K-5,48459,8.00,10,30,16,2016-05-31 07:00:00.0000000
120,68104,K-5,66446,8.00,10,30,3,2016-05-31 12:00:00.0000000
121,39597,K-5,38679,8.50,10,30,3,2016-05-31 12:00:00.0000000
122,38905,K-5,37924,8.00,10,30,3,2016-05-31 12:00:00.0000000
123,45839,K-5,44709,8.00,10,30,3,2016-05-31 12:00:00.0000000
124,40953,K-5,39935,8.00,10,30,3,2016-05-31 12:00:00.0000000
125,39732,K-5,38726,8.50,10,30,3,2016-05-31 12:00:00.0000000
126,44071,K-5,43012,8.00,10,30,3,2016-05-31 12:00:00.0000000
127,41393,K-5,40386,8.00,10,30,3,2016-05-31 12:00:00.0000000
128,64026,K-5,62435,8.00,10,30,3,2016-05-31 12:00:00.0000000
129,49855,K-5,48640,8.50,10,30,3,2016-05-31 12:00:00.0000000
130,60311,K-5,58828,8.00,10,30,3,2016-05-31 12:00:00.0000000
131,37392,K-5,36517,8.00,10,30,3,2016-05-31 12:00:00.0000000
132,43436,K-5,42372,8.00,10,30,3,2016-05-31 12:00:00.0000000
133,56220,K-5,54892,8.50,10,30,3,2016-05-31 12:00:00.0000000
134,41994,K-5,40941,8.00,10,30,16,2016-05-31 07:00:00.0000000
135,37481,K-5,36567,8.00,10,30,16,2016-05-31 07:00:00.0000000
136,39284,K-5,38336,8.00,10,30,16,2016-05-31 07:00:00.0000000
137,45624,K-5,44519,8.50,10,30,3,2016-05-31 12:00:00.0000000
138,501745,K-6,489469,1.50,20,100,3,2016-05-31 12:00:00.0000000
139,126418,K-6,123058,1.50,20,100,3,2016-05-31 12:00:00.0000000
140,570360,K-6,556908,1.50,20,100,3,2016-05-31 12:00:00.0000000
141,328315,K-6,320227,1.50,20,100,3,2016-05-31 12:00:00.0000000
142,323812,K-7,316168,19.00,12,150,3,2016-05-31 12:00:00.0000000
143,378187,K-7,368623,19.00,12,150,16,2016-05-31 07:00:00.0000000
144,379166,K-7,369698,19.00,12,150,3,2016-05-31 12:00:00.0000000
145,248519,K-7,242015,19.00,12,150,16,2016-05-31 07:00:00.0000000
146,327221,K-7,319481,15.00,12,150,3,2016-05-31 12:00:00.0000000
147,354456,K-7,345708,15.00,12,150,16,2016-05-31 07:00:00.0000000
148,274041,K-7,267057,15.00,12,150,3,2016-05-31 12:00:00.0000000
149,229551,K-7,223599,15.00,12,150,3,2016-05-31 12:00:00.0000000
150,31743,K-8,30952,5.50,5,20,3,2016-05-31 12:00:00.0000000
151,37881,K-8,36962,5.50,5,20,3,2016-05-31 12:00:00.0000000
152,31300,K-8,30489,5.50,5,20,16,2016-05-31 07:00:00.0000000
153,168635,D-1,164905,2.20,20,50,16,2016-05-31 07:00:00.0000000
154,105320,D-1,103270,10.00,20,50,16,2016-05-31 07:00:00.0000000
155,440171,D-1,428681,13.00,20,50,3,2016-05-31 12:00:00.0000000
156,172675,D-1,168195,7.50,20,50,3,2016-05-31 12:00:00.0000000
157,46925,D-1,46155,14.00,20,50,3,2016-05-31 12:00:00.0000000
158,26193,D-1,25703,56.00,20,50,3,2016-05-31 12:00:00.0000000
159,48746,D-1,47736,8.00,20,50,16,2016-05-31 07:00:00.0000000
160,250461,D-1,244121,15.00,20,50,3,2016-05-31 12:00:00.0000000
161,188962,D-1,184422,16.00,20,50,3,2016-05-31 12:00:00.0000000
162,269785,D-1,263455,9.90,20,50,3,2016-05-31 12:00:00.0000000
163,108019,D-1,105389,14.00,20,50,3,2016-05-31 12:00:00.0000000
164,68906,D-1,67356,59.00,20,50,3,2016-05-31 12:00:00.0000000
165,187313,D-1,182723,17.00,20,50,16,2016-05-31 07:00:00.0000000
166,149668,D-1,146308,23.00,20,50,3,2016-05-31 12:00:00.0000000
167,308519,D-1,301429,45.00,20,50,16,2016-05-31 07:00:00.0000000
168,112946,D-1,109736,12.00,20,50,16,2016-05-31 07:00:00.0000000
169,68707,D-1,67267,21.00,20,50,3,2016-05-31 12:00:00.0000000
170,274265,D-1,267845,55.00,20,50,3,2016-05-31 12:00:00.0000000
171,128136,D-1,125016,16.00,20,50,16,2016-05-31 07:00:00.0000000
172,291347,D-1,284067,23.00,20,50,3,2016-05-31 12:00:00.0000000
173,103958,D-1,101188,47.00,20,50,16,2016-05-31 07:00:00.0000000
174,8879,D-2,8702,110.00,2,3,3,2016-05-31 12:00:00.0000000
175,15106,D-2,14697,110.00,2,3,3,2016-05-31 12:00:00.0000000
176,41251,D-2,40230,110.00,2,3,3,2016-05-31 12:00:00.0000000
177,58292,D-3,57592,0.55,50,100,3,2016-05-31 12:00:00.0000000
178,117043,D-3,114368,1.10,50,100,16,2016-05-31 07:00:00.0000000
179,214030,D-3,209130,0.55,50,100,3,2016-05-31 12:00:00.0000000
180,318572,D-3,311847,0.60,50,100,16,2016-05-31 07:00:00.0000000
181,64432,D-3,65282,0.56,50,100,3,2016-05-31 12:00:00.0000000
182,326007,D-3,317357,0.60,50,100,3,2016-05-31 12:00:00.0000000
183,62224,D-3,62149,1.20,50,100,3,2016-05-31 12:00:00.0000000
184,38,D-3,38,1.90,50,100,3,2016-05-31 12:00:00.0000000
185,723037,D-3,706837,1.05,50,100,3,2016-05-31 12:00:00.0000000
186,422709,D-3,412434,1.10,50,100,3,2016-05-31 12:00:00.0000000
187,1034169,D-3,1009444,0.45,50,100,3,2016-05-31 12:00:00.0000000
188,208903,D-3,204003,0.36,50,100,3,2016-05-31 12:00:00.0000000
189,324375,D-4,316731,1.70,20,50,3,2016-05-31 12:00:00.0000000
190,50246,D-4,48746,1.80,20,50,16,2016-05-31 07:00:00.0000000
191,686530,D-4,668962,1.80,20,50,3,2016-05-31 12:00:00.0000000
192,618169,D-4,604525,2.30,20,50,3,2016-05-31 12:00:00.0000000
193,50,D-4,74,1.60,20,50,16,2016-05-31 07:00:00.0000000
194,204993,D-4,200529,2.00,20,50,3,2016-05-31 12:00:00.0000000
195,59592,D-4,57648,1.30,20,50,3,2016-05-31 12:00:00.0000000
196,654741,D-4,638949,2.00,20,50,16,2016-05-31 07:00:00.0000000
197,263108,D-4,255716,1.70,20,50,3,2016-05-31 12:00:00.0000000
198,54862,D-4,54454,1.95,20,50,3,2016-05-31 12:00:00.0000000
199,5447,D-4,4991,1.50,20,50,3,2016-05-31 12:00:00.0000000
200,56445,D-4,57069,2.40,20,50,3,2016-05-31 12:00:00.0000000
201,153241,D-4,148369,1.60,20,50,3,2016-05-31 12:00:00.0000000
202,68654,D-4,68606,2.05,20,50,16,2016-05-31 07:00:00.0000000
203,4253,D-4,4643,17.00,20,30,3,2016-05-31 12:00:00.0000000
204,24,D-4,24,17.00,20,30,16,2016-05-31 07:00:00.0000000
205,169152,D-4,165562,17.00,20,30,3,2016-05-31 12:00:00.0000000
206,306414,D-5,299778,1.70,50,200,3,2016-05-31 12:00:00.0000000
207,250156,D-5,244504,1.70,50,200,3,2016-05-31 12:00:00.0000000
208,251435,D-5,245531,1.70,50,200,3,2016-05-31 12:00:00.0000000
209,104161,D-7,101691,0.90,20,50,16,2016-05-31 07:00:00.0000000
210,128179,D-7,125214,1.20,20,50,3,2016-05-31 12:00:00.0000000
211,273217,D-7,266757,2.60,20,50,3,2016-05-31 12:00:00.0000000
212,248979,D-7,243069,2.05,20,50,3,2016-05-31 12:00:00.0000000
213,20946,D-8,20443,35.00,20,30,3,2016-05-31 12:00:00.0000000
214,16642,D-8,16226,54.00,20,30,3,2016-05-31 12:00:00.0000000
215,12530,D-8,12296,1140.00,1,2,3,2016-05-31 12:00:00.0000000
216,47902,D-9,47472,6.00,10,40,3,2016-05-31 12:00:00.0000000
217,128916,D-9,126526,16.00,10,40,3,2016-05-31 12:00:00.0000000
218,107072,D-9,104442,18.00,10,40,16,2016-05-31 07:00:00.0000000
219,108124,D-9,106114,26.00,10,40,3,2016-05-31 12:00:00.0000000
220,90360,CH-1,71112,4.75,240,500,16,2016-05-31 07:00:00.0000000
221,48228,CH-2,38748,8.75,120,250,3,2016-05-31 12:00:00.0000000
222,69336,CH-3,56568,4.75,240,500,3,2016-05-31 12:00:00.0000000
223,74256,CH-4,58464,4.75,240,500,3,2016-05-31 12:00:00.0000000
224,67488,CH-5,53136,4.75,240,500,3,2016-05-31 12:00:00.0000000
225,119560,CH-6,95920,4.75,240,500,16,2016-05-31 07:00:00.0000000
226,155856,CH-7,122544,4.75,240,500,3,2016-05-31 12:00:00.0000000
227,245352,CH-8,193848,4.75,240,500,3,2016-05-31 12:00:00.0000000
